gen,child,eps,Rg,err
7,10,[2.705067 3.132409 2.084369 3.057839 2.905593 1.731836 1.089866 0.925669 0.620220 0.275335 4.199570 0.884321 1.078155 1.661329 0.976338],17.409680,18.590320
7,11,[1.135277 3.081023 0.266969 1.911329 1.703155 1.043977 0.414436 1.607792 1.331979 0.743308 4.734226 1.254541 1.123805 2.163241 1.487094],21.428338,14.571662
7,12,[2.352772 2.057600 0.424474 1.754302 0.945746 1.056883 0.902486 0.890774 0.718212 0.734226 3.693595 1.133126 0.856358 2.320507 1.129780],27.051406,8.948594
8,1,[0.672323 1.604685 1.331740 1.597992 1.370459 1.979446 1.244503 1.552103 1.087715 1.708652 3.304015 0.208652 1.194073 1.831262 1.344646],17.658982,18.341018
8,2,[2.284417 2.138862 1.338193 1.037046 0.715344 1.069073 1.057122 0.985899 0.526291 0.803776 2.337237 1.906310 0.829828 1.753107 1.405115],24.932131,11.067869
8,3,[2.229685 2.310707 2.582218 2.230880 0.695507 1.503346 0.989484 1.540392 0.239723 0.808795 3.154876 1.303537 1.733509 1.325048 0.996893],19.299299,16.700701
8,4,[1.618547 1.623566 1.022228 2.097992 0.789197 1.847753 0.952438 0.501912 0.764818 1.013623 4.363289 1.132170 0.632409 1.851577 1.429732],25.703467,10.296533
8,5,[2.116157 1.835086 1.410851 3.154876 0.242113 0.195507 0.913002 1.879780 0.219885 1.832457 2.536807 1.140057 0.444551 2.347514 1.560946],21.432332,14.567668
8,6,[2.505258 2.019359 1.514340 1.839149 1.688815 1.129780 0.651291 1.951482 0.239006 0.496654 3.361138 1.158700 0.299235 1.242352 0.770793],23.139348,12.860652
8,7,[1.265774 2.094168 0.476816 2.594885 1.908700 1.402486 0.635277 1.251673 1.876673 0.660851 4.245698 1.610660 0.407505 0.913002 1.215822],23.402250,12.597750
8,8,[2.044216 2.945029 1.248088 1.776052 0.903681 2.227772 1.123088 0.603489 1.434512 0.673040 3.423279 1.647467 1.602294 2.012906 1.704350],20.381952,15.618048
8,9,[3.568117 1.500000 0.286807 2.888623 0.911329 1.978967 0.811185 0.635038 1.790631 1.075765 4.479685 1.030832 0.649140 1.904637 2.180927],18.002055,17.997945
8,10,[1.995220 1.160612 1.631214 2.457935 0.460803 2.521511 1.379541 1.758365 0.586042 0.374761 2.850621 1.043499 1.003585 1.527725 0.578394],26.976769,9.023231
8,11,[1.492830 1.660612 0.231836 2.697419 0.446941 1.416109 0.145793 1.615201 1.372610 0.288241 4.122849 1.869503 0.611855 1.745937 1.650574],26.460864,9.539136
8,12,[2.844407 0.648184 1.628824 2.084847 1.314293 2.143881 1.333652 0.119503 1.485182 0.317878 4.363289 0.985899 1.578872 1.159178 0.865440],22.897086,13.102914
9,1,[2.671367 1.074092 1.291109 1.913480 0.614245 1.924474 0.663958 0.336998 1.782505 1.677103 3.154876 1.385994 0.882887 1.099665 1.243786],27.106526,8.893474
9,2,[2.344168 0.450765 0.930688 2.850621 1.316444 1.108987 1.115201 0.659895 0.912285 0.623566 4.122849 1.219646 0.526291 1.709847 1.683556],22.274608,13.725392
9,3,[2.099426 2.099426 0.616635 1.243786 0.119503 2.316922 0.356119 1.690249 0.967256 1.410373 4.363289 1.486616 0.269120 1.558317 1.871654],19.567969,16.432031
9,4,[2.132887 0.532744 1.848470 2.315010 0.334130 2.451004 0.392925 1.137189 1.539436 0.441444 2.609465 2.096080 0.936185 3.154876 0.340583],22.367766,13.632234
9,5,[1.613289 2.197658 1.561185 1.787046 0.246654 2.584130 1.224426 1.865679 0.720124 0.643881 3.290631 1.650335 0.795889 2.072658 0.904637],22.613135,13.386865
9,6,[1.960325 1.736855 1.739006 2.262428 0.753107 1.761472 1.519120 1.087476 0.340583 0.724904 2.969407 0.720124 0.840583 1.733509 1.232553],22.366689,13.633311
9,7,[1.996654 0.733031 1.080306 1.733509 0.880975 0.526291 0.296367 2.396272 0.363767 0.186902 4.640057 1.931405 1.479207 1.239245 1.674235],25.197434,10.802566
9,8,[2.530354 1.926147 1.187859 2.535851 0.635277 1.351577 1.544455 1.120698 1.375239 0.651291 3.990440 1.477055 0.195507 1.400096 0.969885],24.185965,11.814035
9,9,[2.170411 1.547562 1.381931 2.679732 0.172084 2.092256 0.885277 2.253585 1.003585 1.180927 3.187380 1.623088 0.805449 1.408939 1.462476],21.697907,14.302093
9,10,[1.184990 2.850621 1.004063 2.671367 0.339388 0.990679 1.153203 1.647945 1.018403 0.288241 3.012906 1.653203 0.770076 2.216061 1.905832],19.563308,16.436692
9,11,[1.913480 1.084608 0.862333 2.697419 0.182122 0.837954 0.275335 1.476816 1.340822 0.913241 3.423279 1.534895 0.836759 0.969407 1.679015],27.527618,8.472382
9,12,[1.918499 1.057122 1.156071 2.092256 0.317639 2.250239 1.063576 1.370459 0.423040 0.603967 4.479685 1.632648 0.971080 1.560946 1.571224],25.964321,10.035679
10,1,[2.330067 0.830545 1.672562 2.579350 1.057600 1.391730 0.873327 1.734943 1.702199 1.402486 3.738050 1.082935 0.442161 0.767208 2.433795],21.420479,14.579521
10,2,[1.542782 0.805927 0.889101 2.235182 0.145793 2.223231 0.215105 0.597514 0.830306 0.811185 3.568117 0.570507 0.964627 0.911807 1.385038],24.222146,11.777854
10,3,[1.759799 1.671845 1.433317 2.915392 0.391013 1.020554 0.978489 1.422084 1.083413 0.600860 3.304015 2.031071 0.932600 1.873088 1.068356],25.451522,10.548478
10,4,[1.999044 1.193117 1.032744 1.990679 0.927342 1.679015 1.245220 1.893881 0.642925 0.499761 3.154876 1.681405 1.422084 1.172084 1.475860],21.345046,14.654954
10,5,[2.175191 0.570507 1.008604 2.663719 0.125478 1.660612 0.487572 0.942161 0.460325 0.234943 3.608987 1.308795 0.617591 2.188576 0.820507],25.190533,10.809467
10,6,[2.122132 1.882887 0.329350 2.782505 0.736138 1.030832 0.461520 2.062141 1.608748 1.105641 2.428537 2.155354 1.118547 0.376673 1.480880],23.545060,12.454940
10,7,[2.220602 1.011472 1.323136 2.623566 0.509560 1.883604 0.285851 1.098470 1.215822 0.186424 4.035612 1.782744 0.265296 1.306644 2.466539],22.535657,13.464343
10,8,[2.705067 0.915631 1.336998 3.247371 0.372610 1.683317 0.283461 1.179015 0.941205 1.619025 3.247371 1.320507 0.778203 1.712476 1.079828],20.066830,15.933170
10,9,[1.371654 1.170172 1.634321 2.726816 0.435707 1.828872 1.024379 0.755258 0.403920 0.478250 3.187380 1.478250 0.392686 1.404637 0.568834],24.812675,11.187325
